Date,Open,High,Low,Close,Volume,Market Cap
11-Jul-17,2385.89,2413.47,2296.81,2337.79,1329760000,39224200000
10-Jul-17,2525.25,2537.16,2321.13,2372.56,1111200000,41509000000
09-Jul-17,2572.61,2635.49,2517.59,2518.44,527856000,42283200000
08-Jul-17,2520.27,2571.34,2492.31,2571.34,733330000,41417700000
07-Jul-17,2608.59,2916.14,2498.87,2518.66,917412000,42864200000
06-Jul-17,2608.1,2616.72,2581.69,2608.56,761957000,42851400000
05-Jul-17,2602.87,2622.65,2538.55,2601.99,941566000,42760800000
04-Jul-17,2561,2631.59,2559.35,2601.64,985516000,42067900000
03-Jul-17,2498.56,2595,2480.47,2564.06,964112000,41037200000
02-Jul-17,2436.4,2514.28,2394.84,2506.47,803747000,40010500000
01-Jul-17,2492.6,2515.27,2419.23,2434.55,779914000,40928200000
30-Jun-17,2539.24,2559.25,2478.43,2480.84,860273000,41689100000
29-Jun-17,2567.56,2588.83,2510.48,2539.32,949979000,42150300000
28-Jun-17,2553.03,2603.98,2484.42,2574.79,1183870000,41906700000
27-Jun-17,2478.45,2552.45,2332.99,2552.45,1489790000,40677900000
26-Jun-17,2590.57,2615.25,2376.29,2478.45,1663280000,42514000000
25-Jun-17,2607.25,2682.26,2552.12,2589.41,1161100000,42783800000
24-Jun-17,2738.52,2757.94,2583.19,2608.72,982750000,44932900000
23-Jun-17,2707.34,2765.17,2706.37,2744.91,961319000,44415900000
22-Jun-17,2691.03,2723.74,2642.36,2705.41,1097940000,44143700000
21-Jun-17,2709.43,2772.01,2660.4,2689.1,1626580000,44440800000
20-Jun-17,2591.26,2763.45,2589.82,2721.79,1854190000,42498000000
19-Jun-17,2549.03,2662.85,2549.03,2589.6,1446840000,41800600000
18-Jun-17,2655.35,2662.1,2516.33,2548.29,1178660000,43539300000
17-Jun-17,2514.01,2685.19,2484.96,2655.88,1534510000,41217200000
16-Jun-17,2469.57,2539.92,2385.15,2518.56,1195190000,40484100000
15-Jun-17,2499.58,2534.71,2212.96,2464.58,2026260000,40971300000
14-Jun-17,2716.88,2786.83,2412.94,2506.37,1696560000,44528300000
13-Jun-17,2680.91,2789.04,2650.38,2717.02,1781200000,43934100000
12-Jun-17,2953.22,2997.26,2518.56,2659.63,2569530000,48391200000
11-Jun-17,2942.41,2996.6,2840.53,2958.11,1752400000,48208700000
10-Jun-17,2828.14,2950.99,2746.55,2947.71,2018890000,46331400000
09-Jun-17,2807.44,2901.71,2795.62,2823.81,1348950000,45987100000
08-Jun-17,2720.49,2815.3,2670.95,2805.62,1281170000,44557100000
07-Jun-17,2869.38,2869.38,2700.56,2732.16,1517710000,46989800000
06-Jun-17,2690.84,2999.91,2690.84,2863.2,2089610000,44061000000
05-Jun-17,2512.4,2686.81,2510.22,2686.81,1369310000,41133900000
04-Jun-17,2547.79,2585.89,2452.54,2511.81,1355120000,41708200000
03-Jun-17,2493.72,2581.91,2423.57,2515.35,1514950000,40817100000
02-Jun-17,2404.03,2488.55,2373.32,2488.55,1317030000,39344600000
01-Jun-17,2288.33,2448.39,2288.33,2407.88,1653180000,37446200000
31-May-17,2187.19,2311.08,2145.57,2286.41,1544830000,35786700000
30-May-17,2255.36,2301.96,2124.57,2175.47,1443970000,36897000000
29-May-17,2159.43,2307.05,2107.17,2255.61,994625000,35323500000
28-May-17,2054.08,2267.34,2054.08,2155.8,1147140000,33595900000
27-May-17,2196.27,2260.2,1855.83,2038.87,1700480000,35917100000
26-May-17,2320.89,2573.79,2071.99,2202.42,1763480000,37950600000
25-May-17,2446.24,2763.71,2285.3,2304.98,2406700000,39995400000
24-May-17,2321.37,2523.72,2321.37,2443.64,1725380000,37949200000
23-May-17,2191.56,2320.82,2178.5,2320.42,1378750000,35822600000
22-May-17,2043.19,2303.9,2017.87,2173.4,1942220000,33393600000
21-May-17,2067.03,2119.08,2037.5,2041.2,1147860000,33779400000
20-May-17,1984.24,2084.73,1974.92,2084.73,961336000,32422400000
19-May-17,1897.37,2004.52,1890.25,1987.71,1157290000,30999000000
18-May-17,1818.7,1904.48,1807.12,1888.65,894321000,29710500000
17-May-17,1726.73,1864.05,1661.91,1839.09,1064730000,28204800000
16-May-17,1741.7,1785.94,1686.54,1734.45,959045000,28446300000
15-May-17,1808.44,1812.8,1708.54,1738.43,731529000,29532600000
14-May-17,1800.86,1831.42,1776.62,1808.91,437196000,29405100000
13-May-17,1723.12,1812.99,1651.08,1804.91,579635000,28132300000
12-May-17,1845.76,1856.15,1694.01,1724.24,740984000,30131100000
11-May-17,1780.37,1873.93,1755.35,1848.57,799490000,29060600000
10-May-17,1756.52,1788.44,1719.1,1787.13,915723000,28668100000
09-May-17,1723.89,1833.49,1716.3,1755.36,1167920000,28132200000
08-May-17,1596.92,1723.35,1596.92,1723.35,1340320000,26056500000
07-May-17,1579.47,1596.72,1559.76,1596.71,1080030000,25768500000
06-May-17,1556.81,1578.8,1542.5,1578.8,582530000,25395600000
05-May-17,1540.87,1618.03,1530.31,1555.45,946036000,25133100000
04-May-17,1490.72,1608.91,1490.72,1537.67,933549000,24311900000
03-May-17,1453.78,1492.77,1447.49,1490.09,583796000,23707100000
02-May-17,1421.03,1473.9,1415.69,1452.82,477338000,23170200000
01-May-17,1348.3,1434.32,1348.3,1421.6,713624000,21981800000
30-Apr-17,1321.87,1347.91,1314.92,1347.89,413115000,21548400000
29-Apr-17,1317.84,1327.2,1315.21,1321.79,422706000,21479800000
28-Apr-17,1317.74,1331.28,1292.37,1316.48,527489000,21476000000
27-Apr-17,1281.88,1319.7,1281.3,1317.73,449197000,20889200000
26-Apr-17,1265.99,1294.83,1265.93,1281.08,329631000,20627900000
25-Apr-17,1250.45,1267.58,1249.97,1265.49,242556000,20372300000
24-Apr-17,1209.63,1250.94,1209.63,1250.15,235806000,19705400000
23-Apr-17,1231.92,1232.2,1203.94,1207.21,258951000,20066200000
22-Apr-17,1222.71,1235.56,1208.47,1231.71,249320000,19913900000
21-Apr-17,1229.42,1235.94,1215.56,1222.05,272167000,20020700000
20-Apr-17,1211.08,1240.79,1208.41,1229.08,315108000,19719900000
19-Apr-17,1212.13,1215.51,1205.08,1210.29,288061000,19734800000
18-Apr-17,1193.77,1217.57,1193.77,1211.67,270524000,19433800000
17-Apr-17,1183.25,1194.9,1172.65,1193.91,253206000,19260500000
